WKT,EPAbeachID,SPLocation,Description,County,Boundary
"POINT (-82.56739008 27.2981831)",FL159008,SOUTH LIDO BEACH,South Lido Park,Sarasota,"Sarasota Bay,Lido Key"
"POINT (-82.5771785 27.31100082)",FL363707,LIDO CASINO BEACH,Lido Beach (Casino),Sarasota,"Sarasota Bay,Lido Key"
"POINT (-82.58171117 27.31560763)",FL464579,NORTH LIDO BEACH,North Lido Beach,Sarasota,"Sarasota Bay,Lido Key",North Lido
"POINT (-82.562441 27.32682)",FL209722,RINGLING CAUSEWAY,Bird Key Park/Ringling Causeway,Sarasota,"Sarasota Bay"
"POINT (-82.63202183 27.37315228)",FL596960,LONGBOAT KEY ACCESS,Longboat Key Beach Access,Sarasota,"Sarasota Bay,Longboat Key"
"POINT (-82.69023195 27.43570863)",FL553328,"Broadway Beach Access (F.K.A. WHITNEY BEACH)","Broadway Beach Access",Sarasota,"Sarasota Bay,Longboat Key"
"POINT (-82.69153468 27.4465678)",FL865545,"COQUINA BEACH SOUTH","Coquina Beach South",Sarasota,"Sarasota Bay,Anna Maria Island"
"POINT (-82.69552222 27.4560527)",FL603507,"COQUINA BEACH NORTH","Coquina Beach North",Sarasota,"Sarasota Bay,Anna Maria Island"
"POINT (-82.69952617 27.46601865)",FL394990,CORTEZ BEACH,Cortez Beach,Sarasota,"Sarasota Bay,Anna Maria Island"
"POINT (-82.71370187 27.49800737)",FL857032,"MANATEE PUBLIC BEACH NORTH","Manatee Public Beach North",Sarasota,"Sarasota Bay,Anna Maria Island"
"POINT (-82.64701742 27.49590305)",FL596846,"PALMA SOLA SOUTH","Palma Sola South",Sarasota,"Sarasota Bay,Palma Sola Bay Frontal"
"POINT (-82.73678362 27.53593437)",FL854179,"BAYFRONT PARK NORTH","Bayfront Park North",Sarasota,"Sarasota Bay,Anna Maria Island"

